bowl_mat,bowl_sr,catches,econ,player,wkts
11,33.3,6,9.18,HH Pandya,3
12,31.1,2,7.57,KH Pandya,6
10,-,3,-,RR Pant,-
4,84.0,2,9.21,Parvez Rasool,1
14,22.0,2,8.11,AR Patel,13
5,84.0,2,10.50,HV Patel,1
10,-,9,-,PA Patel,-
4,-,1,7.62,IK Pathan,0
15,36.0,3,5.50,YK Pathan,1
12,22.1,5,9.82,NLTC Perera,9
4,-,1,-,KP Pietersen,-
13,-,5,13.50,KA Pollard,0
14,-,7,-,AM Rahane,-
14,-,5,-,KL Rahul,-
15,-,7,8.20,SK Raina,0
4,22.0,0,8.90,AS Rajpoot,3
4,-,0,3.00,N Rana,0
13,-,4,-,AT Rayudu,-
4,12.0,2,9.71,KW Richardson,7
12,14.6,2,7.97,AD Russell,15
11,5.0,1,4.80,Sachin Baby,2
12,-,7,-,WP Saha,-
5,35.0,0,8.34,P Sahu,3
14,-,3,-,SV Samson,-
14,20.0,2,7.32,Sandeep Sharma,15
2,-,1,12.25,PJ Sangwan,0
4,36.0,0,9.83,R Sathish,1
4,32.0,1,9.18,T Shamsi,3
10,37.2,4,7.83,Shakib Al Hasan,5
4,30.0,2,9.86,I Sharma,3
5,-,0,10.46,KV Sharma,0
14,22.3,3,8.39,MM Sharma,13
14,-,2,-,RG Sharma,-
1,-,0,-,LMP Simmons,-
4,24.0,0,9.25,RP Singh,3
12,13.5,7,8.50,DR Smith,8
8,-,2,-,SPD Smith,-
11,28.6,4,7.65,TG Southee,9
14,21.2,2,8.34,BB Sran,14
1,-,0,8.50,DW Steyn,0
7,17.2,0,8.43,MP Stoinis,8
1,-,0,15.50,J Suchith,0
1,-,0,9.66,Swapnil Singh,0
7,19.2,1,8.93,PV Tambe,5
3,-,1,-,AP Tare,-
10,-,4,-,SS Tiwary,-
1,-,0,16.33,JD Unadkat,0
15,-,10,-,RV Uthappa,-
14,-,2,8.00,M Vijay,0
3,18.0,0,7.11,R Vinay Kumar,3
7,-,3,-,M Vohra,-
17,-,4,-,DA Warner,-
16,16.9,6,8.58,SR Watson,20
1,-,1,12.25,D Wiese,0
6,-,5,7.00,KS Williamson,0
5,51.0,1,7.35,J Yadav,2
15,-,6,-,SA Yadav,-
9,15.6,1,9.00,UT Yadav,10
10,-,1,8.43,Yuvraj Singh,0
5,8.5,0,6.76,A Zampa,12
